SaleID,DateKey,ProductKey,Quantity,UnitPrice,UnitCost,SalesAmount,CostAmount,GrossProfit
1001,20240401,16,1,19.99,7.00,19.99,7.00,12.99
1001,20240401,11,1,89.99,40.00,89.99,40.00,49.99
1001,20240401,23,1,99.99,45.00,99.99,45.00,54.99
1001,20240401,10,3,16.99,6.50,50.97,19.50,31.47
1002,20240401,13,2,49.99,22.00,99.98,44.00,55.98
1002,20240401,1,1,6.99,2.50,6.99,2.50,4.49
1002,20240401,1,1,6.99,2.50,6.99,2.50,4.49
1003,20240401,3,1,8.99,3.50,8.99,3.50,5.49
1003,20240401,8,2,29.99,12.00,59.98,24.00,35.98
1004,20240401,15,1,24.99,9.00,24.99,9.00,15.99
1004,20240401,6,1,24.99,10.00,24.99,10.00,14.99
1004,20240401,11,1,89.99,40.00,89.99,40.00,49.99
1005,20240403,2,1,14.99,6.00,14.99,6.00,8.99
1005,20240403,4,1,12.99,4.50,12.99,4.50,8.49
1006,20240403,8,1,29.99,12.00,29.99,12.00,17.99
1007,20240404,1,3,6.99,2.50,20.97,7.50,13.47
1007,20240404,3,2,8.99,3.50,17.98,7.00,10.98
1008,20240405,11,1,89.99,40.00,89.99,40.00,49.99
1009,20240406,13,1,49.99,22.00,49.99,22.00,27.99
1010,20240406,3,1,8.99,3.50,8.99,3.50,5.49
1010,20240406,5,2,4.99,1.50,9.98,3.00,6.98
1010,20240406,4,1,12.99,4.50,12.99,4.50,8.49
1011,20240406,2,2,14.99,6.00,29.98,12.00,17.98
1011,20240406,7,1,19.99,8.00,19.99,8.00,11.99
1011,20240406,10,1,16.99,6.50,16.99,6.50,10.49
1011,20240406,11,2,89.99,40.00,179.98,80.00,99.98
1012,20240406,1,1,6.99,2.50,6.99,2.50,4.49
1012,20240406,9,3,9.99,3.50,29.97,10.50,19.47
1012,20240406,14,1,34.99,15.00,34.99,15.00,19.99
1012,20240406,23,1,99.99,45.00,99.99,45.00,54.99
1013,20240406,9,3,9.99,3.50,29.97,10.50,19.47
1014,20240406,15,1,24.99,9.00,24.99,9.00,15.99
1015,20240407,2,1,14.99,6.00,14.99,6.00,8.99
1015,20240407,6,1,24.99,10.00,24.99,10.00,14.99
1015,20240407,2,3,14.99,6.00,44.97,18.00,26.97
1016,20240407,2,1,14.99,6.00,14.99,6.00,8.99
1016,20240407,5,1,4.99,1.50,4.99,1.50,3.49
1016,20240407,16,1,19.99,7.00,19.99,7.00,12.99
1016,20240407,4,2,12.99,4.50,25.98,9.00,16.98
1016,20240407,4,3,12.99,4.50,38.97,13.50,25.47
1017,20240407,17,1,179.99,90.00,179.99,90.00,89.99
1017,20240407,7,1,19.99,8.00,19.99,8.00,11.99
1018,20240407,1,1,6.99,2.50,6.99,2.50,4.49
1018,20240407,8,2,29.99,12.00,59.98,24.00,35.98
1019,20240407,4,1,12.99,4.50,12.99,4.50,8.49
1020,20240412,2,1,14.99,6.00,14.99,6.00,8.99
1021,20240413,12,2,129.99,60.00,259.98,120.00,139.98
1021,20240413,3,1,8.99,3.50,8.99,3.50,5.49
1021,20240413,4,2,12.99,4.50,25.98,9.00,16.98
1021,20240413,16,1,19.99,7.00,19.99,7.00,12.99
1022,20240413,1,1,6.99,2.50,6.99,2.50,4.49
1022,20240413,2,2,14.99,6.00,29.98,12.00,17.98
1023,20240413,14,1,34.99,15.00,34.99,15.00,19.99
1023,20240413,22,1,499.99,250.00,499.99,250.00,249.99
1023,20240413,3,1,8.99,3.50,8.99,3.50,5.49
1024,20240413,5,3,4.99,1.50,14.97,4.50,10.47
1025,20240413,18,1,199.99,100.00,199.99,100.00,99.99
1026,20240413,21,1,599.99,300.00,599.99,300.00,299.99
1027,20240413,1,1,6.99,2.50,6.99,2.50,4.49
1028,20240414,9,2,9.99,3.50,19.98,7.00,12.98
1028,20240414,4,1,12.99,4.50,12.99,4.50,8.49
1028,20240414,14,1,34.99,15.00,34.99,15.00,19.99
1028,20240414,9,1,9.99,3.50,9.99,3.50,6.49
1029,20240414,5,1,4.99,1.50,4.99,1.50,3.49
1029,20240414,1,1,6.99,2.50,6.99,2.50,4.49
1030,20240414,1,2,6.99,2.50,13.98,5.00,8.98
1030,20240414,3,1,8.99,3.50,8.99,3.50,5.49
1031,20240414,9,2,9.99,3.50,19.98,7.00,12.98
1031,20240414,4,2,12.99,4.50,25.98,9.00,16.98
1032,20240414,4,1,12.99,4.50,12.99,4.50,8.49
1033,20240418,4,1,12.99,4.50,12.99,4.50,8.49
1034,20240419,4,1,12.99,4.50,12.99,4.50,8.49
1034,20240419,4,1,12.99,4.50,12.99,4.50,8.49
1034,20240419,13,1,49.99,22.00,49.99,22.00,27.99
1034,20240419,6,2,24.99,10.00,49.98,20.00,29.98
1035,20240420,5,3,4.99,1.50,14.97,4.50,10.47
1035,20240420,8,2,29.99,12.00,59.98,24.00,35.98
1035,20240420,7,1,19.99,8.00,19.99,8.00,11.99
1035,20240420,2,2,14.99,6.00,29.98,12.00,17.98
1035,20240420,15,1,24.99,9.00,24.99,9.00,15.99
1035,20240420,5,1,4.99,1.50,4.99,1.50,3.49
1036,20240420,9,1,9.99,3.50,9.99,3.50,6.49
1037,20240421,2,2,14.99,6.00,29.98,12.00,17.98
1037,20240421,1,2,6.99,2.50,13.98,5.00,8.98
1037,20240421,1,2,6.99,2.50,13.98,5.00,8.98
1037,20240421,18,1,199.99,100.00,199.99,100.00,99.99
1038,20240421,3,1,8.99,3.50,8.99,3.50,5.49
1038,20240421,10,2,16.99,6.50,33.98,13.00,20.98
1039,20240421,10,1,16.99,6.50,16.99,6.50,10.49
1040,20240421,5,1,4.99,1.50,4.99,1.50,3.49
1040,20240421,2,2,14.99,6.00,29.98,12.00,17.98
1041,20240421,15,2,24.99,9.00,49.98,18.00,31.98
1042,20240421,5,2,4.99,1.50,9.98,3.00,6.98
1043,20240424,1,1,6.99,2.50,6.99,2.50,4.49
1043,20240424,21,1,599.99,300.00,599.99,300.00,299.99
1044,20240425,1,1,6.99,2.50,6.99,2.50,4.49
1045,20240425,20,1,449.99,230.00,449.99,230.00,219.99
1045,20240425,1,1,6.99,2.50,6.99,2.50,4.49
1046,20240426,1,1,6.99,2.50,6.99,2.50,4.49
1046,20240426,3,2,8.99,3.50,17.98,7.00,10.98
1047,20240426,3,1,8.99,3.50,8.99,3.50,5.49
1048,20240427,3,1,8.99,3.50,8.99,3.50,5.49
1048,20240427,5,2,4.99,1.50,9.98,3.00,6.98
1048,20240427,13,1,49.99,22.00,49.99,22.00,27.99
1049,20240427,3,3,8.99,3.50,26.97,10.50,16.47
1049,20240427,16,1,19.99,7.00,19.99,7.00,12.99
1050,20240427,14,1,34.99,15.00,34.99,15.00,19.99
1050,20240427,1,1,6.99,2.50,6.99,2.50,4.49
1050,20240427,19,1,249.99,120.00,249.99,120.00,129.99
1051,20240427,13,1,49.99,22.00,49.99,22.00,27.99
1051,20240427,1,3,6.99,2.50,20.97,7.50,13.47
1052,20240427,14,1,34.99,15.00,34.99,15.00,19.99
1052,20240427,12,1,129.99,60.00,129.99,60.00,69.99
1053,20240428,23,1,99.99,45.00,99.99,45.00,54.99
1054,20240428,23,1,99.99,45.00,99.99,45.00,54.99
1054,20240428,18,1,199.99,100.00,199.99,100.00,99.99
1055,20240501,2,2,14.99,6.00,29.98,12.00,17.98
1056,20240501,3,1,8.99,3.50,8.99,3.50,5.49
1056,20240501,2,1,14.99,6.00,14.99,6.00,8.99
1056,20240501,19,1,249.99,120.00,249.99,120.00,129.99
1057,20240503,3,3,8.99,3.50,26.97,10.50,16.47
1057,20240503,3,1,8.99,3.50,8.99,3.50,5.49
1058,20240504,8,2,29.99,12.00,59.98,24.00,35.98
1058,20240504,5,3,4.99,1.50,14.97,4.50,10.47
1058,20240504,1,1,6.99,2.50,6.99,2.50,4.49
1059,20240504,10,2,16.99,6.50,33.98,13.00,20.98
1060,20240504,3,2,8.99,3.50,17.98,7.00,10.98
1060,20240504,18,1,199.99,100.00,199.99,100.00,99.99
1061,20240504,13,1,49.99,22.00,49.99,22.00,27.99
1061,20240504,9,2,9.99,3.50,19.98,7.00,12.98
1062,20240504,12,1,129.99,60.00,129.99,60.00,69.99
1062,20240504,16,2,19.99,7.00,39.98,14.00,25.98
1063,20240504,10,2,16.99,6.50,33.98,13.00,20.98
1064,20240505,5,1,4.99,1.50,4.99,1.50,3.49
1065,20240505,7,1,19.99,8.00,19.99,8.00,11.99
1065,20240505,3,1,8.99,3.50,8.99,3.50,5.49
1065,20240505,1,1,6.99,2.50,6.99,2.50,4.49
1065,20240505,2,1,14.99,6.00,14.99,6.00,8.99
1065,20240505,5,1,4.99,1.50,4.99,1.50,3.49
1066,20240505,9,2,9.99,3.50,19.98,7.00,12.98
1066,20240505,9,1,9.99,3.50,9.99,3.50,6.49
1066,20240505,10,1,16.99,6.50,16.99,6.50,10.49
1066,20240505,10,1,16.99,6.50,16.99,6.50,10.49
1067,20240505,9,1,9.99,3.50,9.99,3.50,6.49
1067,20240505,13,1,49.99,22.00,49.99,22.00,27.99
1068,20240505,1,1,6.99,2.50,6.99,2.50,4.49
1069,20240505,1,3,6.99,2.50,20.97,7.50,13.47
1070,20240505,6,1,24.99,10.00,24.99,10.00,14.99
1070,20240505,2,1,14.99,6.00,14.99,6.00,8.99
1070,20240505,1,1,6.99,2.50,6.99,2.50,4.49
1071,20240505,2,1,14.99,6.00,14.99,6.00,8.99
1071,20240505,5,2,4.99,1.50,9.98,3.00,6.98
1072,20240505,4,2,12.99,4.50,25.98,9.00,16.98
1072,20240505,4,2,12.99,4.50,25.98,9.00,16.98
1073,20240505,13,1,49.99,22.00,49.99,22.00,27.99
1074,20240506,17,1,179.99,90.00,179.99,90.00,89.99
1074,20240506,12,1,129.99,60.00,129.99,60.00,69.99
1074,20240506,22,1,499.99,250.00,499.99,250.00,249.99
